device_group,dose_krad_si,abs_id_at_10p0v_a_count,abs_id_at_10p0v_a_mean,abs_id_at_10p0v_a_std,abs_id_at_10p0v_a_min,abs_id_at_10p0v_a_max,abs_id_at_20p0v_a_count,abs_id_at_20p0v_a_mean,abs_id_at_20p0v_a_std,abs_id_at_20p0v_a_min,abs_id_at_20p0v_a_max,abs_id_at_30p0v_a_count,abs_id_at_30p0v_a_mean,abs_id_at_30p0v_a_std,abs_id_at_30p0v_a_min,abs_id_at_30p0v_a_max,abs_ig_at_30p0v_a_count,abs_ig_at_30p0v_a_mean,abs_ig_at_30p0v_a_std,abs_ig_at_30p0v_a_min,abs_ig_at_30p0v_a_max,low_field_conductance_s_count,low_field_conductance_s_mean,low_field_conductance_s_std,low_field_conductance_s_min,low_field_conductance_s_max,id_30v_change_vs_0_pct_count,id_30v_change_vs_0_pct_mean,id_30v_change_vs_0_pct_std,id_30v_change_vs_0_pct_min,id_30v_change_vs_0_pct_max,v_at_1e_m6a_v_count,v_at_1e_m6a_v_mean,v_at_1e_m6a_v_std,v_at_1e_m6a_v_min,v_at_1e_m6a_v_max,v_at_1e_m3a_v_count,v_at_1e_m3a_v_mean,v_at_1e_m3a_v_std,v_at_1e_m3a_v_min,v_at_1e_m3a_v_max,compliance_onset_v_count,compliance_onset_v_mean,compliance_onset_v_std,compliance_onset_v_min,compliance_onset_v_max
S,0,3,2.4774981140692403e-10,7.453614725329192e-11,1.80458231691105e-10,3.27866234162144e-10,3,5.417932676573164e-10,1.9810792246246456e-10,3.88483772928439e-10,7.65481678044466e-10,3,8.66105983228966e-10,3.367814908114136e-10,6.23496199114726e-10,1.25061638822643e-09,3,4.30003810336643e-10,1.413653833606791e-10,3.00040381429056e-10,5.80520909121418e-10,3,2.519469951330386e-11,1.0291941914727846e-11,1.8355220337890283e-11,3.703110185016158e-11,3,0.0,0.0,0.0,0.0,3,106.33333333333333,6.350852961085882,99.0,110.0,3,111.0,1.0,110.0,112.0,3,113.0,1.0,112.0,114.0
S,10,3,6.383398254428127e-10,8.21841492004699e-10,1.4194129205336002e-10,1.5869781044841602e-09,3,2.4477737892159e-09,3.4600204072578476e-09,3.18576359736866e-10,6.440107114258351e-09,3,4.84715732366563e-09,6.5264298802929486e-09,6.6528155207024e-10,1.23674803731433e-08,3,1.805570924255188e-09,2.90976586001441e-09,8.59694537780342e-11,5.165164740361661e-09,3,1.2350024745050725e-10,1.772688905969911e-10,1.538794391331998e-11,3.2808233366695716e-10,3,334.64628091615526,482.68907361030637,6.701781504818016,888.9107874783509,3,51.0,10.392304845413264,39.0,57.0,3,112.33333333333333,1.5275252316519452,111.0,114.0,3,114.0,1.0,113.0,115.0
S,20,3,5.694888819777573e-10,6.693424835641444e-10,1.7579168676285003e-10,1.3423333555806502e-09,3,4.733361850621062e-09,7.419449036716338e-09,3.93192256531449e-10,1.33003537072796e-08,3,1.7215332067295956e-08,2.804522442836108e-08,8.3314483090291e-10,4.95984195936217e-08,3,4.515365340888407e-09,7.655085024191225e-09,9.441802895082669e-11,1.33546960157105e-08,3,2.14272364461977e-10,3.342210942951476e-10,1.8769636350219282e-11,6.001864470424614e-10,3,1322.4114154352042,2202.8071151903277,33.62468481537733,3865.9179313938166,3,46.0,10.14889156509222,35.0,55.0,3,107.66666666666667,11.015141094572206,95.0,115.0,3,113.66666666666667,3.2145502536643202,110.0,116.0
S,30,3,2.4965780368961065e-10,8.026215783286992e-12,2.41159731073637e-10,2.57109528112309e-10,3,1.9513161086948104e-09,4.948611244997733e-10,1.48966694535346e-09,2.4737698556265303e-09,3,1.3147655408829482e-08,5.936730680555445e-09,7.726406181518541e-09,1.94917788576277e-08,3,8.012055926117292e-10,1.0340557213666711e-09,1.41322759050766e-10,1.9929400352225503e-09,3,8.273384407819153e-11,1.6664963170938776e-11,6.630611182766988e-11,9.962631650386855e-11,3,1395.2690870301806,231.0097779448566,1139.2066210650387,1588.0268806275396,3,35.333333333333336,0.5773502691896263,35.0,36.0,3,106.0,5.196152422706632,103.0,112.0,3,113.33333333333333,1.5275252316519485,112.0,115.0
S,40,3,3.016495664365237e-10,1.9928379244081958e-11,2.8133043117328803e-10,3.2116273529503303e-10,3,2.4532888313425835e-09,3.9456919208734786e-10,2.04009786841652e-09,2.8261364359849503e-09,3,2.4872903144531236e-08,5.301319184602776e-09,1.98144380902932e-08,3.03875893337135e-08,3,8.957183698458477e-10,2.4934598958370786e-10,6.69540589637307e-10,1.1630996166189801e-09,3,9.917949965387476e-11,1.7045113894350533e-11,8.079182935936177e-11,1.1445248717021981e-10,3,2893.093020310173,497.3256108314076,2329.8089821778094,3271.513562189044,3,34.0,1.0,33.0,35.0,3,69.0,42.0,39.0,117.0,3,114.0,4.58257569495584,109.0,118.0
S,50,3,4.39910820733876e-10,5.423534222897967e-11,4.06087330429017e-10,5.02467401020112e-10,3,2.011111166488887e-09,5.999912328932262e-10,1.3254141117968702e-09,2.4397159847922e-09,3,2.0441330998247992e-08,1.88521538783091e-08,4.3858729981138805e-09,4.11997476135184e-08,3,9.417330063913681e-10,9.525507913850564e-10,1.32074406966609e-10,1.9913046767072704e-09,3,8.04268436361395e-11,2.0037217994238215e-11,5.733123723236392e-11,9.317249014165012e-11,3,1956.9931458421936,1299.3641850827346,603.4321948299257,3194.355327611378,3,36.0,4.58257569495584,32.0,41.0,3,68.66666666666667,41.58525379666852,38.0,116.0,3,90.33333333333333,43.61574639202376,40.0,117.0
S,60,3,1.1848008315181364e-09,3.291727982346504e-10,9.10739539339289e-10,1.5499159733423101e-09,3,3.032925244284e-09,8.505828626225696e-10,2.29209384805529e-09,3.96179222761361e-09,3,1.5180321592348865e-08,5.528560587113596e-09,1.15302674075224e-08,2.15410747017586e-08,3,6.870045180888237e-10,4.975829517529218e-10,2.13996070863587e-10,1.20597298813863e-09,3,1.1810895944525185e-10,3.2681379202046443e-11,8.844247026659505e-11,1.5314114240785701e-10,3,1840.2711127005332,991.8168482419441,897.0781436383924,2874.442861343341,3,35.333333333333336,0.5773502691896263,35.0,36.0,3,65.33333333333333,44.747439405326126,39.0,117.0,3,91.33333333333333,44.467216388406115,40.0,118.0
T,0,3,7.545568799412666e-11,5.775515123494364e-12,7.127026746545079e-11,8.20448708971355e-11,3,1.0097810550687336e-10,3.981634724882396e-12,9.67220192826801e-11,1.04612041251784e-10,3,1.2186269586026798e-10,3.3723801132190262e-12,1.18483278743753e-10,1.25227994640653e-10,3,1.0006532639531933e-10,5.869534288064273e-12,9.589012917032849e-11,1.06776476549442e-10,3,4.293648865982923e-12,4.483431822705491e-14,4.242947155235822e-12,4.328061646448463e-12,3,0.0,0.0,0.0,0.0,3,92.66666666666667,1.1547005383792526,92.0,94.0,3,94.0,0.0,94.0,94.0,3,95.0,0.0,95.0,95.0
T,10,3,7.626168215442893e-11,2.46995435508137e-12,7.44517780759679e-11,7.90755239066243e-11,3,1.0719968431456996e-10,8.149959529320855e-12,9.85885262316799e-11,1.14792786387596e-10,3,1.2989415099085032e-10,8.864359454821785e-12,1.19967979994584e-10,1.37020617074768e-10,3,9.553879909418583e-11,4.307508380271172e-12,9.076112084116519e-11,9.91255411086911e-11,3,4.423056077240402e-12,2.0012642536274837e-13,4.290490113262254e-12,4.653260641165412e-12,3,6.680382161537331,8.628335502475595,-1.5661996208220508,15.645531190191164,3,98.33333333333333,0.5773502691896247,98.0,99.0,3,100.33333333333333,0.5773502691896247,100.0,101.0,3,100.33333333333333,0.5773502691896247,100.0,101.0
T,20,3,9.134834555446496e-11,3.2391832691660435e-11,7.224537634797909e-11,1.2874831756271e-10,3,1.30416834738985e-10,3.494318459745658e-11,1.05756903234777e-10,1.70404385047007e-10,3,1.54355620877548e-10,4.0828759679448724e-11,1.23657944994804e-10,2.00691990803747e-10,3,1.08204584181593e-10,8.777500311601992e-12,1.01605501789948e-10,1.18166226803496e-10,3,5.199544294399332e-12,1.0642408989622398e-12,4.339142753620287e-12,6.389607277622694e-12,3,27.20571636861401,36.82308695744204,1.4614189008385292,69.38423120260626,3,104.66666666666667,0.5773502691896278,104.0,105.0,3,105.66666666666667,0.5773502691896278,105.0,106.0,3,106.33333333333333,0.5773502691896247,106.0,107.0
