source_file,sheet,device_group,device_no,device_id,dose_krad_si,scan_no,sweep,rows,columns,x_min,x_max,x_step_median,x_strictly_increasing,drain_i_min_a,drain_i_max_a,negative_drain_i_points,missing_drain_i_points,error_cells,max_abs_gate_i_a
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-6.35755337263788e-12,0.076418399810791,200,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S2-0k,S,2,S2,0,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-9.07238173475378e-12,0.0778269320726395,49,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,S,3,S3,0,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-9.87834813948041e-12,0.0790822803974152,206,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S1-10K,S,1,S1,10,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-8.09666222956196e-12,0.0769327208399773,177,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S2-10K,S,2,S2,10,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-3.64266949937075e-12,0.073647752404213,51,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-10K.xlsx,S3-10K,S,3,S3,10,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-8.73298655612587e-12,0.0790375173091888,177,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-20K.xlsx,S1-20K,S,1,S1,20,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-4.15237288997616e-12,0.0789728239178658,113,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-20K.xlsx,S2-20K,S,2,S2,20,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-1.2253809078544e-12,0.0767152607440948,11,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-20K.xlsx,S3-20K,S,3,S3,20,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-2.15863438235431e-12,0.078704759478569,41,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-30K.xlsx,S1-30K,S,1,S1,30,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-14.0,2.0,0.05000007152557995,True,-1.42495182320346e-11,0.0778236165642738,189,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-30K.xlsx,S2-30K,S,2,S2,30,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-14.0,2.0,0.05000007152557995,True,-5.38377675773916e-12,0.0767086669802666,98,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-30K.xlsx,S3-30K,S,3,S3,30,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-14.0,2.0,0.05000007152557995,True,-1.8576334914755e-11,0.0775519087910652,168,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-40K.xlsx,S1-40K,S,1,S1,40,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-14.0,2.0,0.05000007152557995,True,1.11579634420877e-11,0.0784294530749321,0,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-40K.xlsx,S2-40K,S,2,S2,40,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-14.0,2.0,0.05000007152557995,True,1.72664105235754e-11,0.0784352347254753,0,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-40K.xlsx,S3-40K,S,3,S3,40,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-14.0,2.0,0.05000007152557995,True,1.33637823029886e-11,0.0779603272676468,0,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-50K.xlsx,S1-50K,S,1,S1,50,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-16.0,0.0,0.05000019073479933,True,1.11395809243575e-10,0.0774392634630203,0,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-50K.xlsx,S2-50K,S,2,S2,50,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-16.0,0.0,0.05000019073479933,True,1.18776877222615e-10,0.0763932317495346,0,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-50K.xlsx,S3-50K,S,3,S3,50,1,transfer,321,"DrainI,GateV,GM,IDLIN,VT",-16.0,0.0,0.05000019073479933,True,6.82122691664233e-11,0.0769918337464333,0,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-60K.xlsx,S1-60K,S,1,S1,60,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-18.0,0.0,0.05000019073479933,True,3.5284986044104e-10,0.0786929428577423,0,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-60K.xlsx,S2-60K,S,2,S2,60,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-18.0,0.0,0.05000019073479933,True,5.66313052008383e-10,0.0776024013757706,0,0,1,
S转移特性曲线\S转移特性曲线\vgs-id#S-60K.xlsx,S3-60K,S,3,S3,60,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-18.0,0.0,0.05000019073479933,True,3.33888056092135e-10,0.0744780600070953,0,0,1,
T转移特性曲线\vgs-id#T-0K.xlsx,T1-0k,T,1,T1,0,1,transfer,361,"DrainI,GateV,GM,IDLIN,VT",-10.0,8.0,0.050000011920928455,True,-9.96316917856177e-12,0.0671399533748627,163,0,1,
