source_file,sheet,device_group,device_no,device_id,dose_krad_si,scan_no,sweep,point_no,DrainI,DrainV,GateI,GateV
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,1,2.38027930699047e-11,0.0,6.64219623747186e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,2,3.80981912684319e-11,1.0,2.36416219934199e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,3,5.20542220439069e-11,2.0,4.90787965823358e-11,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,4,6.39741315477949e-11,3.0,-3.57001095352416e-11,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,5,7.61061214049619e-11,4.0,-7.58407781020765e-11,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,6,8.74321448574023e-11,5.0,-1.01354313830626e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,7,1.03212188795609e-10,6.0,-1.17578752290015e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,8,1.25652155347211e-10,7.0,-1.28843380409194e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,9,1.49619233669185e-10,8.0,-1.40360195688416e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,10,1.62345081822224e-10,9.0,-1.4456341679292e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,11,1.80458231691105e-10,10.0,-1.5292780930487e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,12,1.97298816173586e-10,11.0,-1.54272816743628e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,13,2.16514889350705e-10,12.0,-1.67470953771343e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,14,2.33440294872267e-10,13.0,-1.74952663467565e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,15,2.55371196411502e-10,14.0,-1.84115667156703e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,16,2.78786799201569e-10,15.0,-1.9239601578569e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,17,3.03220476505217e-10,16.0,-2.00802457994698e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,18,3.1925503907182e-10,17.0,-2.0920887244813e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,19,3.40337563686788e-10,18.0,-2.18582069111406e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,20,3.68461733346592e-10,19.0,-2.26315965967672e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,21,3.88483772928439e-10,20.0,-2.35268832193825e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,22,4.16735201902441e-10,21.0,-2.47794423868797e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,23,4.50840531573959e-10,22.0,-2.55402227145041e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,24,4.63778487835853e-10,23.0,-2.62589755495313e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,25,4.91394980262072e-10,24.0,-2.71248384864364e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,26,5.14557230157919e-10,25.0,-2.71962896647437e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,27,5.38016409201703e-10,26.0,-2.81588280470757e-10,-20.0
S输出特性曲线\vds-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,output,28,5.62408897231137e-10,27.0,-2.86674156635414e-10,-20.0
