source_file,sheet,device_group,device_no,device_id,dose_krad_si,scan_no,sweep,point_no,DrainI,GateV,GM,IDLIN,VT
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,1,3.22930571172719e-12,-10.0,,-1.89035256463088,2.06900828291482
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,2,1.9991508448669e-12,-9.94999980926514,-2.46030034841957e-11,-1.88252110188166,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,3,4.78506123613442e-14,-9.89999961853027,-3.90258557782859e-11,-1.87468963913244,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,4,-1.22477028519086e-12,-9.85000038146973,-2.54528063300469e-11,-1.86685832575595,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,5,-1.13989373495826e-12,-9.80000019073486,1.69752452910968e-12,-1.85902686300673,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,6,3.87190279838023e-13,-9.75,3.05415637891059e-11,-1.85119540025751,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,7,-2.32766583785349e-12,-9.69999980926514,-5.42969152275362e-11,-1.84336393750829,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,8,-3.64266949937075e-12,-9.64999961853027,-2.62999729039106e-11,-1.83553247475907,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,9,-3.68508001891144e-12,-9.60000038146973,-8.48223333674546e-13,-1.82770116138257,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,10,-2.41248687693485e-12,-9.55000019073486,2.54517657487505e-11,-1.81986969863335,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,11,-3.4729719100568e-12,-9.5,-2.12096197541605e-11,-1.81203823588413,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,12,-3.34568484028352e-12,-9.44999980926514,2.54573168426979e-12,-1.80420677313491,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,13,-3.1760427621208e-12,-9.39999961853027,3.39282862064042e-12,-1.79637531038569,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,14,-3.68508001891144e-12,-9.35000038146973,-1.01809004840256e-11,-1.7885439970092,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,15,-4.0668302059288e-12,-9.30000019073486,-7.63497461523041e-12,-1.78071253425998,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,16,-3.98200916684743e-12,-9.25,1.69641431032021e-12,-1.77288107151076,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,17,-3.21845328166148e-12,-9.19999980926514,1.52710594492503e-11,-1.76504960876154,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,18,-3.7699010579928e-12,-9.14999961853027,-1.10289134546603e-11,-1.75721814601232,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,19,-3.81231157753348e-12,-9.10000038146973,-8.48223333674546e-13,-1.74938683263582,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,20,-3.09122172303944e-12,-9.05000019073486,1.44217420753007e-11,-1.7415553698866,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,21,-4.27893831478343e-12,-9.0,-2.37542412196408e-11,-1.73372390713738,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,22,-2.92152413372548e-12,-8.94999980926514,2.71481800590707e-11,-1.72589244438816,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,23,-2.75188205556276e-12,-8.89999961853027,3.39282862064042e-12,-1.71806098163894,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,24,-3.00634517280685e-12,-8.85000038146973,-5.08934000204728e-12,-1.71022966826245,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,25,-3.13363224258012e-12,-8.80000019073486,-2.54573168426979e-12,-1.70239820551323,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,26,-2.49730791601621e-12,-8.75,1.272643798377e-11,-1.69456674276401,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,27,-1.73375203083026e-12,-8.69999980926514,1.52710594492503e-11,-1.68673528001479,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,28,-2.92152413372548e-12,-8.64999961853027,-2.37553514384303e-11,-1.67890381726557,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,29,-2.49730791601621e-12,-8.60000038146973,8.48445381667655e-12,-1.67107250388907,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,30,-2.03073668991749e-12,-8.55000019073486,9.33138892555062e-12,-1.66324104113985,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,31,-2.70941602487085e-12,-8.5,-1.35735349201406e-11,-1.65540957839063,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,32,-6.73322508859542e-13,-8.44999980926514,4.07217149792113e-11,-1.64757811564141,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,33,-3.51543794074871e-12,-8.39999961853027,-5.68420918024112e-11,-1.63974665289219,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,34,-2.20037876808021e-12,-8.35000038146973,2.63015847837042e-11,-1.6319153395157,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,35,-1.94591565083613e-12,-8.30000019073486,5.08924293096063e-12,-1.62408387676648,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,36,-4.36381486501602e-12,-8.25,-4.83577998132312e-11,-1.61625241401726,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,37,-2.24278928762089e-12,-8.19999980926514,4.24203497271105e-11,-1.60842095126804,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,38,-1.18235976565018e-12,-8.14999961853027,2.1208509535371e-11,-1.60058948851882,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,39,-2.66700550533017e-12,-8.10000038146973,-2.96933678784368e-11,-1.59275817514232,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,40,-1.01266217633622e-12,-8.05000019073486,3.30867403639809e-11,-1.5849267123931,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,41,-2.79429257510344e-12,-8.0,-3.56324720482507e-11,-1.57709524964388,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,42,-1.13989373495826e-12,-7.94999980926514,3.30878505827704e-11,-1.56926378689466,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S1-0k,S,1,S1,0,1,transfer,43,-2.15796824853953e-12,-7.90000009536743,-2.03616067816739e-11,-1.5614323988318,
