device_group,device_no,device_id,dose_krad_si,scan_no,vds_min_v,vds_max_v,points,max_abs_gate_i_a,compliance_onset_v,abs_id_at_10p0v_a,abs_ig_at_10p0v_a,abs_id_at_20p0v_a,abs_ig_at_20p0v_a,abs_id_at_30p0v_a,abs_ig_at_30p0v_a,v_at_1e_m9a_v,v_at_1e_m8a_v,v_at_1e_m7a_v,v_at_1e_m6a_v,v_at_1e_m5a_v,v_at_1e_m4a_v,v_at_1e_m3a_v,low_field_conductance_s,low_field_fit_r2,abs_id_30v_0_a,id_30v_change_vs_0_pct,first_abs_id_at_10p0v_a,first_abs_id_at_20p0v_a,first_abs_id_at_30p0v_a,leakage_reduction_10p0v_pct,log10_ratio_10p0v,leakage_reduction_20p0v_pct,log10_ratio_20p0v,leakage_reduction_30p0v_pct,log10_ratio_30p0v
S,1,S1,30,2,0.0,150.0,151,4.46418735311482e-10,115.0,1.82408366189435e-10,1.01223696091779e-10,5.971104166668791e-10,1.04081909757525e-10,1.4521235325304402e-09,1.10891185123307e-10,26.0,81.0,86.0,88.0,92.0,113.0,114.0,2.8606202003138165e-11,0.9554984751787242,6.23496199114726e-10,132.90014190820162,2.41159731073637e-10,1.48966694535346e-09,7.726406181518541e-09,24.362012937500978,-0.121260037458959,59.91651566617799,-0.397034533618355,81.20570549340391,-0.7259739720327906
S,1,S1,60,2,0.0,150.0,151,4.2133024846791004e-10,119.0,7.56789075850861e-10,1.16899490087974e-10,1.3857841540954e-09,1.19841803147835e-10,2.53589460541548e-09,1.17782200659278e-10,15.0,92.0,110.0,116.0,117.0,118.0,118.0,5.423780270507004e-11,0.9594005752546786,6.23496199114726e-10,306.7217424927501,1.0937469818728102e-09,2.8448896571831e-09,1.15302674075224e-08,30.80766499076232,-0.15994201316705092,51.28865013810236,-0.3123698353337802,78.0066279836576,-0.6577081796514737
S,2,S2,30,2,0.0,150.0,151,4.43770631353146e-10,115.0,1.87074550295208e-10,9.311140747314539e-11,6.36435515399825e-10,9.630585218189939e-11,1.5645416073795102e-09,1.09378006651895e-10,25.0,85.0,91.0,94.0,112.0,113.0,114.0,3.047603745843974e-11,0.9529636248229252,7.24205362345742e-10,116.03562866641468,2.57109528112309e-10,1.8905115251044402e-09,1.22247811873422e-08,27.23935527838888,-0.13810346137054483,66.33527450383221,-0.47282492244022506,87.20188457033922,-0.8928539771299958
S,2,S2,40,2,0.0,150.0,151,4.41880032564512e-10,116.0,2.1859136722923701e-10,1.03156816422256e-10,6.29309326871663e-10,1.08410891375144e-10,1.45289136277427e-09,1.05090325330792e-10,26.0,105.0,114.0,115.0,115.0,115.0,116.0,2.8083244568206066e-11,0.9523150695466062,7.24205362345742e-10,100.61869717013323,3.2116273529503303e-10,2.8261364359849503e-09,2.4416682009587e-08,31.937506065755052,-0.16709214160463562,77.73252137233284,-0.6523289558480327,94.04959542740572,-1.22545350525095
S,2,S2,50,2,0.0,150.0,151,4.25993518238244e-10,116.0,4.67214600341492e-10,1.25349147728215e-10,1.0162416463899101e-09,1.48467127480956e-10,2.15510587153744e-09,1.63094510119421e-10,20.0,77.0,92.0,104.0,111.0,113.0,114.0,4.24815078857533e-11,0.9778975144843746,7.24205362345742e-10,197.5821477704792,5.02467401020112e-10,2.26820340287759e-09,1.57383723831117e-08,7.015937871203108,-0.031591485023378,55.19618544348182,-0.34868500898573346,86.30667886693284,-0.8634912067353155
S,2,S2,60,2,0.0,150.0,151,3.62778640461414e-10,116.0,1.54745549707513e-09,1.85286813669805e-10,2.5485362709076803e-09,2.0344501083791e-10,4.49300374683048e-09,2.18324636147571e-10,4.0,45.0,88.0,101.0,110.0,112.0,113.0,9.605617563983192e-11,0.9543118410567721,7.24205362345742e-10,520.4046504540353,1.5499159733423101e-09,3.96179222761361e-09,2.15410747017586e-08,0.1587490102366116,-0.0006899860095334679,35.67213714176036,-0.19160087677142082,79.14215604821392,-0.6807305860454179
S,3,S3,20,2,0.0,150.0,151,9.7253205488812e-10,114.0,1.76724912481774e-10,8.554923436321359e-11,6.59597321206462e-10,1.24639215615119e-10,2.0316448523516304e-09,2.82007972529641e-10,24.0,76.0,88.0,92.0,96.0,112.0,112.0,2.99206637820993e-11,0.9194898426841875,1.25061638822643e-09,62.451481643609426,1.3423333555806502e-09,1.33003537072796e-08,4.95984195936217e-08,86.83449891585772,-0.8805626068247876,95.04075353390452,-1.304584307477115,95.90381131294575,-1.3876200462072594
S,3,S3,40,2,0.0,150.0,151,4.41207459456194e-10,113.0,2.52951493084908e-10,9.454009797238429e-11,7.658659817444401e-10,9.870138040213309e-11,2.06071493202842e-09,1.1114298370529201e-10,23.0,65.0,86.0,97.0,102.0,107.0,111.0,3.4117057699879676e-11,0.9431122679724298,1.25061638822643e-09,64.77594180185314,2.8133043117328803e-10,2.04009786841652e-09,3.03875893337135e-08,10.087404327368962,-0.04617946457439248,62.459350916390655,-0.42549822263121945,93.21856396900111,-1.1686783305723012
S,3,S3,50,2,0.0,150.0,151,1.2144010241854601e-09,118.0,3.77538694751323e-10,1.00507824285501e-10,8.109186655502751e-10,1.03113850791203e-10,1.94121363428224e-09,1.1811954192531002e-10,23.0,44.0,51.0,74.0,92.0,101.0,116.0,3.2701275561889386e-11,0.9666295327202719,1.25061638822643e-09,55.22054984703863,4.11177730752499e-10,2.4397159847922e-09,4.11997476135184e-08,8.181142480555309,-0.03706811536097737,66.76175954065636,-0.4783619746299126,95.28828755823423,-1.326821222627825
S,3,S3,50,3,0.0,150.0,151,4.40074476859564e-10,119.0,3.74399622415922e-10,9.3572427584121e-11,7.57594043054866e-10,9.22273923897876e-11,1.57018975599499e-09,9.80279191153954e-11,24.0,63.0,84.0,101.0,110.0,116.0,116.0,3.099678709953954e-11,0.9697003732979541,1.25061638822643e-09,25.55326883423983,4.11177730752499e-10,2.4397159847922e-09,4.11997476135184e-08,8.944576903342789,-0.04069418330326974,68.9474493024075,-0.507902720498931,96.18883646879482,-1.4189424159152344
