source_file,sheet,row,key,value_1,value_2,value_3,value_4
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,5,Test Name,vgs-id#1@1,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,6,Mode,Sweeping,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,7,Speed,Normal,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,8,Sweep Delay,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,9,Hold Time,0,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,10,Site Coordinate,"0,0",,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,11,Last Executed,07/11/2026 15:54:14,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,12,Clarius+ Version,V1.12,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,13,Execution Time,,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,14,Interlock,High Voltage Enabled,,,
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,16,Device Terminal,Drain,Bulk,Source,Gate
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,17,Instrument,SMU3,GNDU,SMU4,SMU1
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,18,Name,DrainV,N/A,SourceV,GateV
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,19,Operation Mode,Voltage Bias,Common,Voltage Bias,Voltage Linear Sweep
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,20,Master/Subordinate,N/A,N/A,N/A,Master
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,21,Start/Bias,0.1,0,0,-10
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,22,Stop,N/A,N/A,N/A,8
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,23,Step,N/A,N/A,N/A,0.05
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,24,Number of Points,0,N/A,0,361
S转移特性曲线\S转移特性曲线\vgs-id#S-0K.xlsx,S3-0k,25,Compliance,0.1,N/A,0.1,0.1
