device_group,device_no,device_id,dose_krad_si,scan_no,point_no,GateV,DrainI,DrainI_smooth,GM_recalc
S,1,S1,0,1,1,-10.0,3.22930571172719e-12,2.940090284673123e-12,-2.3770382092812557e-11
S,1,S1,0,1,2,-9.94999980926514,1.9991508448668997e-12,1.7515666461920012e-12,-2.25106434879939e-11
S,1,S1,0,1,3,-9.89999961853027,4.78506123613442e-14,6.890173487446637e-13,-1.9991332905733238e-11
S,1,S1,0,1,4,-9.85000038146973,-1.2247702851908599e-12,-2.4755760766889005e-13,-1.747187972384564e-11
S,1,S1,0,1,5,-9.80000019073486,-1.13989373495826e-12,-1.0581582230486597e-12,-1.495221185909513e-11
S,1,S1,0,1,6,-9.75,3.87190279838023e-13,-1.7427844973946524e-12,-1.1701260918399204e-11
S,1,S1,0,1,7,-9.69999980926514,-2.32766583785349e-12,-2.2282887785653e-12,-8.224780288081838e-12
S,1,S1,0,1,8,-9.64999961853027,-3.64266949937075e-12,-2.5652656637075213e-12,-6.367767203590659e-12
S,1,S1,0,1,9,-9.60000038146973,-3.68508001891144e-12,-2.865062564298911e-12,-6.575488063863863e-12
S,1,S1,0,1,10,-9.55000019073486,-2.41248687693485e-12,-3.2228118128095056e-12,-6.704974872772096e-12
S,1,S1,0,1,11,-9.5,-3.4729719100568e-12,-3.535562609321085e-12,-2.435303086575201e-12
S,1,S1,0,1,12,-9.44999980926514,-3.34568484028352e-12,-3.466343050461411e-12,1.0867295101230188e-12
S,1,S1,0,1,13,-9.39999961853027,-3.1760427621207997e-12,-3.426889243754376e-12,-8.177805773023919e-13
S,1,S1,0,1,14,-9.35000038146973,-3.68508001891144e-12,-3.5481175754528223e-12,-3.673375818161056e-12
S,1,S1,0,1,15,-9.30000019073486,-4.066830205928799e-12,-3.794227105514654e-12,-1.0481280568265043e-12
S,1,S1,0,1,16,-9.25,-3.98200916684743e-12,-3.652930780964682e-12,1.591430054766067e-13
S,1,S1,0,1,17,-9.19999980926514,-3.21845328166148e-12,-3.778312744258755e-12,-1.4060325746527842e-12
S,1,S1,0,1,18,-9.14999961853027,-3.7699010579928e-12,-3.793534574788804e-12,1.4852066059634277e-12
S,1,S1,0,1,19,-9.10000038146973,-3.81231157753348e-12,-3.6297963469432745e-12,3.3697371519734677e-12
S,1,S1,0,1,20,-9.05000019073486,-3.0912217230394398e-12,-3.4565626067182525e-12,2.2444884375075837e-12
S,1,S1,0,1,21,-9.0,-4.27893831478343e-12,-3.4053466469880915e-12,6.475888083559231e-13
S,1,S1,0,1,22,-8.94999980926514,-2.9215241337254798e-12,-3.3918034788471392e-12,3.5349340377700212e-12
S,1,S1,0,1,23,-8.89999961853027,-2.75188205556276e-12,-3.051851894740686e-12,5.3079173964846395e-12
S,1,S1,0,1,24,-8.85000038146973,-3.00634517280685e-12,-2.8610119324151274e-12,2.910191168387325e-12
S,1,S1,0,1,25,-8.80000019073486,-3.13363224258012e-12,-2.7608361724719793e-12,3.805964582300446e-12
S,1,S1,0,1,26,-8.75,-2.49730791601621e-12,-2.480414022324839e-12,1.0491619319006176e-12
S,1,S1,0,1,27,-8.69999980926514,-1.7337520308302599e-12,-2.65591957905841e-12,1.6701624236047224e-12
S,1,S1,0,1,28,-8.64999961853027,-2.9215241337254798e-12,-2.3133971428478476e-12,4.257627155982692e-12
S,1,S1,0,1,29,-8.60000038146973,-2.49730791601621e-12,-2.2301543543762005e-12,8.373810589777846e-13
S,1,S1,0,1,30,-8.55000019073486,-2.03073668991749e-12,-2.229661094449642e-12,1.447487212599779e-12
S,1,S1,0,1,31,-8.5,-2.7094160248708497e-12,-2.085405080943697e-12,-8.426586491353753e-13
S,1,S1,0,1,32,-8.44999980926514,-6.73322508859542e-13,-2.3139272808119383e-12,-3.6625807314122584e-12
S,1,S1,0,1,33,-8.39999961853027,-3.5154379407487097e-12,-2.4516645512485866e-12,-1.6404241717504278e-12
S,1,S1,0,1,34,-8.35000038146973,-2.2003787680802097e-12,-2.477970884687548e-12,-2.1120517437274214e-12
S,1,S1,0,1,35,-8.30000019073486,-1.94591565083613e-12,-2.6628715420212307e-12,7.97080156625687e-15
S,1,S1,0,1,36,-8.25,-4.36381486501602e-12,-2.4771738014903814e-12,5.992477084071263e-13
S,1,S1,0,1,37,-8.19999980926514,-2.24278928762089e-12,-2.6029465425856627e-12,3.2561384315202607e-12
S,1,S1,0,1,38,-8.14999961853027,-1.18235976565018e-12,-2.1515587162199837e-12,5.462087135552393e-12
